sku,name,brand,price,price_text
040002721,ACRIFIX TC30 (THINNER 30 -1KG),NO BRAND,85.0000,$85.0000
040002723,ACRIFIX GLUE 192 ADHESIVE 100G,NO BRAND,21.5047,$21.5047
040002725,INSULFLEX RUBBER INSULATION ADHESIVE 800ML,NO BRAND,12.0000,$12.0000
040002728,DNE RUBBER INSULATION ADHESIVE 750ML,NO BRAND,12.0000,$12.0000
040002731,QUIADSA ADHESIVO FIJA+PLUS TURBO BLANCO 290ML - 400KG,QUIADSA,16.0280,$16.0280
040002734,QUIADSA MS-AQUA ADHESIVE SEALANT WHITE (BLANCO) - 300KG,QUIADSA,16.0280,$16.0280
040002735,QUIADSA ADHESIVE SEALANT CLEAR 290ML - 150KG,QUIADSA,16.0280,$16.0280
040002740,K-FLEX INSULATION ADHESIVE GLUE 1L K414,NO BRAND,20.0000,$20.0000
040002801,TORQUE SEAL ORANGE,NO BRAND,7.0000,$7.0000
040002802,DYKEM 83314 CROSS CHECK TORQUE MARK (ORANGE) 1OZ/TUBE,NO BRAND,12.0000,$12.0000
040002803,DYKEM 83314 CROSS CHECK TORQUE MARK (RED) 1OZ/TUBE,NO BRAND,12.1028,$12.1028
040002901,OLIVE HAIR OIL 200ML,NO BRAND,5.0000,$5.0000
040002904,KINGS SODA BICARBONATE 120G (12PC/DOZ),NO BRAND,13.7615,$13.7615
0400030423,COLRON WOOD WAX POLISH 300ML 30423,COLRON,22.4537,$22.4537
0400031110,SUPER LUBE 31110 MULTI PURPOSE SYNTHETIC LUBRICANT 11OZ,NO BRAND,21.4500,$21.4500
0400032001,GREENFLEX PU 100 ( HYDROPHOBIC ) 20KG,NO BRAND,230.0000,$230.0000
0400032002,GREENFLEX PU 100 ( HYDROPHOBIC ) 10KG,NO BRAND,115.0000,$115.0000
0400034544,COLRON REFINED TEAK OIL (NATURAL) 500ML 34544,COLRON,37.5000,$37.5000
0400034545,COLRON REFINED DANISH OIL (NATURAL) 500ML 34545,COLRON,50.4630,$50.4630
0400034550,COLRON REFINED BEESWAX (NATURAL) 400G 34550,COLRON,54.5370,$54.5370
0400034958,COLRON WOOD WAX REPAIR STICK (3COLOURS) 34958,COLRON,30.0926,$30.0926
0400035109,RONSEAL KITCHEN & BATHROOM TOUCH-UP ENAMEL 10ML WHITE 35109,RONSEAL,24.3056,$24.3056
0400036215,COLRON REFINED FINISHING WAX (CLEAR) 325GM 36215,COLRON,65.6019,$65.6019
0400036962,RONSEAL 3 IN 1 MOULD KILLER SPRAY 500ML,RONSEAL,54.6296,$54.6296
04000412209,SILANEX-A ADHESIVE REMOVER 5L - 1616H,NO BRAND,60.0000,$60.0000
04000412210,EUROLUBE RUST REMOVER F1132 – 5L,NO BRAND,21.0000,$21.0000
040004122101,EUROLUBE ADHESIVE REMOVER 5L F3111,NO BRAND,68.0000,$68.0000
040004122102,EUROLUBE CITRUS CLEAN GENERAL PURPOSE DEGREASER 5L F1110,NO BRAND,19.0000,$19.0000
040004122104,EUROLUBE CITRUS CLEAN GENERAL PURPOSE DEGREASER 25L F1110,NO BRAND,88.0374,$88.0374
040004122105,EUROLUBE CITRUS CLEAN BIO DEGREASER 5L F1110C,NO BRAND,19.0000,$19.0000
040004122106,EUROLUBE CITRUS CLEAN BIO DEGREASER 25L F1110C,NO BRAND,88.0374,$88.0374
040004124103,EXTREME CLEAM 16OZ -24103,NO BRAND,18.0000,$18.0000
040004161001,REJEX 12OZ -61001,NO BRAND,32.0000,$32.0000
040004191002,CORROSIONX TRIGGER SPRAY 16OZ - 91002,NO BRAND,33.0000,$33.0000
04000990102,MOSQUITO KILLER EPA 3KG/PAIL NEA APPROVED,NO BRAND,120.0000,$120.0000
04000990103,BTI ANTI MALARIA OIL-25L REG W/NEA,NO BRAND,70.0000,$70.0000
04000990104,BTI ANTI MALARIA OIL-200L REG W/NEA,NO BRAND,450.0000,$450.0000
